QC — discrepancy and open-items log,,,,

ID,Item,Detail / required action,Severity,Status
Q11,Westnetz service-area sentence verbatim unverified (Cloudflare-blocked page),"Substance corroborated via site metadata. Cosmetic. || RESOLVED: westnetz.de ""Wir ueber uns"" read in browser: ""Westnetz ist der Strom- und Gasverteilnetzbetreiber im Westen Deutschlands... ein Netz vom Emsland bis in den Hunsrueck, von der niederlaendischen Grenze bis ins Weserbergland"" (~175,000 km Stromnetz; Dortmund HQ; 100% Westenergie AG).",Low,RESOLVED 2026-07-16
Q12,Golden-number verification (this session),All 5 GN values retrieved from primary sources and piped through FX/CPI formulas; arithmetic verified after recalc (see verification note in session log).,—,PASS pending recalc
Q13,CREEI 造价报告 2024 primary PDF not retrievable,CN renewables LCOE verified via 2 independent reproductions of the Tier-1 source (CPEM; 光伏們/Sina). Discount-rate basis (real vs nominal) unstated in reproduced material. ACTION: obtain primary PDF if possible; state caveat in chapter 4 text.,Medium,OPEN
Q14,WEO 2025 China thermal/nuclear WACC point unpublished,"WEO states 8–9% band ('based on stage of economic development'); harmonised model uses 8.5% mid-band, estimated=Y. Sensitivity: ±0.5pp moves the re-annuitised harmonised LCOE by <2 USD/MWh (capital share is small at WEO capex levels).",Low,OPEN (documented)
Q15,Lifetimes not published in WEO Annex B tables; CREEI lifetime not disclosed,"EGC 2020 conventions applied (coal 40 / gas 30 / nuclear 60; renewables 25), estimated=Y, stated in model notes.",Low,OPEN (documented)
Q16,Fraunhofer publishes bands only (no central); internal discrepancies in source,"Band-edge convention (low capex+best resource / high capex+worst) reproduced in harmonised model. Source-internal discrepancies retained verbatim: GuD upper 18,1 (pp.3/19) vs 18,0 (p.4); GT 32,6 vs '32,67'; biogas 20,1 vs 20,2.",Low,OPEN (documented)
Q17,UK 2023-edition carbon methodology superseded (D16 consequence),EGC 2025 changed the carbon-price series (no convergence to appraisal value by 2040). UK LCOE from the 2023 edition embeds the old series. Chapter 4 must not compare UK gas LCOE across editions and must state the carbon assumption explicitly.,Medium,OPEN — chapter 4 drafting constraint
Q18,CREEI PV residual slightly negative (−4 元/MWh),Published PV LCOE (0.20 元/kWh) is marginally below the pure capital annuity at 5%/25y — implied opex ≈ 0; consistent with rounding in the published '约0.20'. Residual carried as-is (NEG-flag visible in model); does not affect onshore/offshore.,Low,OPEN (documented)
Q19,NPg (Yorkshire) CDCM/DUoS archive 2010–2016 not verified online,"UPDATED 2026-07-15: 2012/13 (Common Crawl), 2015/16 + 2016/17 (Wayback) retrieved — S51. 2010/11, 2011/12 (Apr+Oct), 2013/14, 2014/15 provably un-archived (CDX/CC/arquivo.pt exhausted; UK Web Archive down — British Library incident). Reconstructed per D28 (flat-hold/interp, estimated=Y). Retry when UKWA restores; doczz.net/doc/7296928 mirror (unidentified year) is a browser candidate.",Medium,RESOLVED (D28 reconstruction; document retry open)
Q20,Westnetz MS price sheets 2013–2019 not on current site,Old CMS URLs dead; Wayback Machine attempt planned (D20). Pre-2013 predecessor (RWE Rhein-Ruhr Verteilnetz) likely irretrievable → MB-average bridge 2006–12 per D20.,Medium,OPEN
Q21,Eurostat band IG (≥150 GWh) DE confidentiality,ANSWERED 2026-07-15: IG published from 2019-S2; annualisable from 2020. IF remains the long overlay (per archetype table); IG overlaid 2020+.,Medium,CLOSED
Q22,"CN pre-2021 market prices often disclosed as 价差 (spread vs catalogue), uneven by province; exchange portals registration-gated","GD/JS/SD good, HEN/ZJ/SC partial, 蒙西 from 2010 sparse. Plan: 北极星/exchange-announcement mirrors as locators to primary annual reports; large-archetype 2016–21 market leg may carry wider uncertainty bands — own it in text.",Medium,OPEN
Q23,UK CCL historic rates pruned from live gov.uk page,RESOLVED 2026-07-15: full 2009–2027 rate history retrieved from HMRC Environmental Taxes Bulletin historical rates table (staging file).,—,RESOLVED
Q19b,NPg DUoS 2018/19–2026/27,"RESOLVED 2026-07-15 via Claude in Chrome + direct asset download (LC14 PDFs, /tmp/npg/). Remaining DUoS gap: 2010/11–2016/17 only.",—,RESOLVED (partial — pre-2017 open)
Q24,UK wholesale: pre-2021 year-ahead does not exist freely; day-ahead proxy adopted (D22),Proxy error quantified from 2021+ overlap (YA–DA wedge). Partial-year coverage flags: DA 2010 Jun–Dec; YA 2021 Feb–Dec; convention asymmetry vs DE Cal-Y marked on charts. Everviz chart data is Ofgem-republished third-party assessment — cite as Tier 1 carrier.,Medium,OPEN (documented)
Q25,UK E1/E2 completeness pre-2024,"CLOSED 2026-07-15: FiT levelisation (SY1–SY15, D27 for 2010–14), CM (D30, derived per-MWh 2017–2026), BSUoS outturn 2010/11–2022/23 (own comp., CMP250-x-checked) + FT1/FT2 primary-verified, AAHEDC 2010/11–2020/21 all integrated. Residual: FiT SY16 (2025/26) unpublished — see Q32; CM DY22/23 final total unpublished — see Q33. ESL added (Q28→D31). Gates re-run this session.",High,CLOSED (residuals → Q32/Q33)
Q26,CN 系统运行费 annual series missing,"PARTIAL 2026-07-15: JS replaced with TRUE ANNUALS from 42 monthly 公告 (2023 Jun–Dec 0.02090; 2024 0.03443; 2025 0.04682; 2026H1 0.08682 元/kWh) — S54; formulas repointed (r81). GD/SD/HN still single-month snapshots, estimated=Y. NOTE trap: official JS archive attaches Sep-24 PDF to Oct-24 page and Mar-25 PDF to Apr-25 page (MD5-verified) — mirrors used for those months.",Medium,PARTIALLY RESOLVED (JS done; GD/SD/HN open)
Q27,DE wholesale delivery-2026 GAP,"RESOLVED 2026-07-15 (provisional): delivery-2026 = 87.57 €/MWh partial-year Cal-26 mean per D29 (Tier-4 carrier, x-checked). REPLACE with official average when MB 2026 / SMARD Jan-2027 release lands — diarise.",Medium,"RESOLVED (provisional, D29)"
Q28,UK ESL (EII Support Levy) pass-through not modelled in E1,RESOLVED 2026-07-15: ESL modelled per D31 (2025 = 0.9158 actual-total-based; 2026 = 1.0373 est). E2 = 0 statutory carve-out (reg 18(4)(a) SI 2024/409). Incidence-(ii) exhibit now feedable.,Medium,RESOLVED (D31)
Q29,DE §19 individual-charge era 2011–2013 not modelled,"RESOLVED 2026-07-15: E2 network 2011 = 0 (exemption); 2012–13 = 10% retroactive floor per D32 (BGBl I 2013/50 §32(7); OLG/BGH citations S53). Stromsteuer 2010 §9(3) 12.30 filled. REMAINING documented caveat: §10 Spitzenausgleich (through 2023) and SPK still unmodelled in E2 → E2 overstated, direction flagged in text.",Medium,RESOLVED (D32; §10/SPK caveat documented)
Q30,Validation gate results (recorded post-recalc 2026-07-15),"RE-RECORDED 2026-07-15 POST-GAP-FILL (recalc clean, GN reproduce): UK large: PASS 2018 only; 2010–17 & 2019–20 & 2024–25 FAIL with observed ABOVE E1 by ~5–25 £/MWh — known gaps now FILLED (FiT/CM/BSUoS/AAHEDC/ESL integrated), residual gap attributable to supply cost+margin (excluded by design) and D27-understated FiT pre-2015; 2021–23 FAIL with observed BELOW E2/inside-crisis dynamics (front-year model vs real hedged books). UK medium: PASS 2018–19; 2010–16 (newly computable via D28 reconstruction) near-miss FAILs, observed above E1−CCL by ~2–8 £/MWh — margin-sized. DE large: PASS 2011–2021 (2011–13 newly gated via D32) + 2025; FAIL 2022–24 (crisis hedging 2022–23; 2024 observed 141.2 below E2 central 151.0). DE medium: PASS 2012–2021 + 2024; FAIL 2022–23 (crisis), 2025 (observed 192.7 > E1 167.6 — margin excluded; BDEW GN3 176.0 sits between). INTERPRETATION (not tuned): the systematic UK obs>E1 in normal years is margin-shaped and stable; crisis years 2021–23 invert as expected from hedging. Gate values in timeseries rows 92–95.",High,"RECORDED post-gap-fill — margin wedge is a chapter-5 exhibit, not a model error || SUPERSEDED IN PART 2026-07-24 by Q92: the residual was attributed to supply cost + margin, but Q88 measures that block at USD 14.3/MWh (2025) — about a quarter of the UK large residual and a sixth of the medium one. Re-word when Q92 closes."
Q31,CN catalogue-era province gaps,"LARGELY CLOSED 2026-07-15 (browser+agent pass): SD 2017–19 (fgw.shandong.gov.cn consolidated PDF), ZJ 2021 (364号 annex), HN 2012–2021 full rebuild (187号/263号/1号/704号/711号/654号 chain — incl. CORRECTION of held 2015 anchor, see Q34), SC 2012–2020 full chain (2623号/228号/129号/272号/379号/257号/629号), IM 2015–19 (431号/1299号/954号/950号/465号/1290号 chain, incl. 2020 1-10kV correction), GD 2012–2018 五市 (2618号价目表/179号/372号/498号). REMAINING: SD 2012–15 (city-varied, basket value ambiguous — unchanged); minor flags: GD 2016 Jan–May renewable-billing variant (+0.0016); HN 2017 residual −1.27分 unitemized; IM 2015 4-20 step inferred (closes exactly). Doc-number gaps for browser retry: GD 2011 粤价号 (chaozhou.gov.cn post_3508858), IM 2016 notice number (nmg.gov.cn WAF).",Medium,LARGELY CLOSED (SD pre-2016 open; minor flags documented)
Q32,FiT SY16 (2025/26) annual report unpublished,UK E1 2025+2026 exclude FiT (~7 £/MWh). Ofgem publishes SY16 report ~Dec 2026 — integrate then. Do not proxy (not approved).,Medium,OPEN (calendar: Dec 2026)
Q33,CM DY2022/23 final reconciled total unpublished,EMRS delisted the 2022/23 Key Figures doc; latest capture = pre-final £783.0m (31.03.2023 schedule). FY-split cross-check £761.7m. 2023 CM value flagged pre-final; revisit if EMRS republishes.,Low,OPEN (documented)
Q34,Corrections to previously-held CN catalogue data (gap-fill pass 2),"Three corrections, all document-anchored: (1) HN 2015-04-20 step was held as 0.5912/0.6292 — matches NO official table (likely a funds-deducted variant); corrected to 0.6112/0.6922 (263号 sealed PDF; = 187号 −1.75分 exact). (2) IM 2020 1-10kV back-computation 0.4528 → 0.4478 (2017/2018 tables; 2021+4.5分 exact). (3) 基本电价 in all-in formulas: HN 28→30 元/kW·月 (187号/654号); SC 39 (not 33) through 2020, 33 from 2021 (629号). Effects flow to CN baskets 2012–2021; original staging values superseded — see stage4_gapfill_staging.md §CN.",High,RESOLVED (corrections applied + logged)
Q35,DE flat glass tonnage 2010–2021 gap,BV Glas hosts only 2022-25 tables; earlier Jahresberichte offline. Closable via free GENESIS registration (statistic 42131 Produktionserhebung) or BV Glas archive/Wayback. Panel currently DE 2022-25 only.,Low,OPEN
Q36,UK flat glass tonnage not publishable,PRODCOM (Eurostat DS-059358) and ONS ProdCom volumes suppressed/confidential across the window — effectively single-producer (Pilkington) confidentiality; only partial m² codes published. Documented gap; the unpublishability is itself a finding for ch.5 text.,Low,DOCUMENTED GAP (finding)
Q37,CN 造纸和纸制品业 VA growth: 2011-17 unpublished; 2018+ Tier-3 only,"Not in any Dec release/communiqué/yearbook (all checked). NDRC-official 2021 (6.3) / 2022 (-0.6) entered; 中商 askci cells (2018-20, 2023-25) NOT entered per Tier-3 rule. If a browser session on data.stats.gov.cn (user IP) verifies the annual sector table at primary level, a 2018+ growth-bars exhibit becomes possible; the 2010=100 chained line stays impossible either way. || UPDATED 2026-07-16: data.stats.gov.cn easyquery returns 403 reason:UrlACL from the user IP (Belgium) as well — geo/ACL block, not a cloud-IP artefact. Series unreachable without a CN IP; stage-5 exclusion stands.",Medium,DOCUMENTED (definitively unreachable)
Q38,2025 tonnage gaps + provisionals,"Missing 2025: UK steel (worldsteel viewer login-walled), UK+DE cement (USGS ends 2023, BGS 2024), UK+DE aluminium (BGS 2024), UK paper. Provisional: DE paper 18.7 Mt (VDP PR 03.03.2026); DE alu 2024 220kt rounded; CN paper 2025 Tier-2 carriers. Revisit ~mid-2027 (WSIF 2026, BGS WMP 2021-25, FAOSTAT update, VDP 2026, 年鉴2026).",Low,OPEN (calendar)
Q39,UK ONS steel index vs tonnage divergence,K23I (24.1-3) CVM index native 2015=187 vs worldsteel tonnage 2015 +12% vs 2010; index 2021=69.9 while tonnage 7.2 Mt ≈ 2020. Group-level IoP CVM known volatile (deflator/mix effects). DRAFTING CONSTRAINT: ch.5 steel/metals prose must present tonnage alongside index and must not quote the index alone.,Medium,OPEN — chapter-5 drafting constraint
Q40,Composite coefficient provenance (D37),"Steel electricity-only kWh/t is published NOWHERE directly — central 745 derived from worldsteel total-energy (2023) × electricity shares (2018 fact sheet) × route mix (2024); mixed vintages, route mix differs by country — carried as the band, not a point. Cement: GCCA GNR world kWh/t gated (registration) — IEA ~100 used; retry GNR if registered access obtained. Paper: CEPI EU-scope, no global figure exists — stated on tab.",Medium,OPEN (documented; band carries it)
Q41,CN 石油加工、炼焦和核燃料加工业 VA growth unavailable,Sector absent from the 规模以上工业生产主要数据 table in ALL 15 December releases 2011–2025 (full-text verified) and from communiqués/yearbook growth tables. Refining therefore excluded from the CN EI aggregate (D38) — 2007 VA memo row kept for the coverage denominator. Same possible browser route as Q37 (data.stats.gov.cn annual database).,Low,DOCUMENTED (definitive absence)
Q42,UKA 2025 annual average is a Tier-2 placeholder,carbon!S6 = GBP 47.36 (ICAP). Official per-auction table for 2025 not yet published (functioning report ~Q4 2026). Replace and re-run when published.,Medium,OPEN (calendar: ~Q4 2026)
Q43,CN system-operation fee split — RESOLVED via full monthly itemisation,RESOLVED 2026-07-16: all 24 monthly JS daigou-gongdian notices 2024-2025 itemise the fee in prose (archive js.sgcc.com.cn djhsfbz; 2025-06 via Nanjing-company mirror; 2025-12/2024-06 read from image attachments). 12-month unweighted means (CNY/kWh): 2024 total 0.0349 = capacity 0.043242 + cross-subsidy 0.004758 - 0.013100 residual P&L; 2025 total 0.047317 = 0.042742 + 0.008383 - 0.003808. Split applied to stage4_cn r104-106 and data_lineitems (D42). NOTE: capacity charges EXCEED the total fee in most months — the negative TOU/line-loss P&L items mask them.,Medium,RESOLVED (D42)
Q44,DE taxpayer-EEG counterfactual — year-specific levy bases RESOLVED,"RESOLVED 2026-07-16 (browser): Datenbasis zu par.19 StromNEV-Umlage 2024 (22.12.2023): Letztverbrauch 450,843,900,337 kWh (A-prime 255.87 / B-prime 115.99 / C-prime 70.81 / Speichergas 8.17 TWh; A-prime rate 0.643 ct cross-checks workbook); Datenbasis zum Aufschlag fuer besondere Netznutzung 2025 (25.10.2024): 446,144,452,137 kWh (252.25/111.21/71.49/11.19; rate 1.558 cross-checks). Counterfactual now: 2024 EUR 41.01/MWh; 2025 EUR 36.98/MWh (was 41.95/37.44 on 2026 base). Remains estimated=Y by nature (counterfactual).",Medium,RESOLVED
Q45,CORRECTION — stage4_cn r93 (CN medium market era) line-loss term lacked x1000,"S92*D78 (CNY/kWh) was added to a CNY/MWh total -> line loss contributed ~0.014 instead of ~14 CNY/MWh. Understated CN MEDIUM 2023/2024/2025/2026 by ~8.5/14.2/13.9/11.5 CNY/MWh (~1.1-1.9 pct). Fixed 2026-07-16 (cols Q-T, x1000 added). CN MEDIUM USD 2025 moves ~109.9 -> ~111.8. Under the 5 pct escalation bar (analyst-level fix, logged). Stage-5 outputs unaffected.",High (resolved),RESOLVED 2026-07-16
Q46,Stage-6 reconciliation gate results,"RECORDED POST-RECALC 2026-07-16: see stage6_decomp GATE rows. Expected PASS everywhere by construction (lineitems mirror stage-4 addends); any FAIL = build error, not a data finding.",High,RECORDED post-recalc
Q47,CORRECTION — JS 系统运行费 annuals revised on complete verified monthly set,"stage4_cn r81: 2024 0.0344 -> 0.0349, 2025 0.04682 -> 0.047317 CNY/kWh (12-month unweighted means over the complete itemised notice set, incl. months previously missing: 2024-01/02 [.doc], 2024-06/2025-12 [images], 2025-06 [NJ mirror]). CN large/medium totals move ~+0.5 CNY/MWh (~0.07 pct). Month-level values in stage6_qcsweep_staging.md.","Low (correction, resolved)",RESOLVED 2026-07-16
Q48,Q35 constraint noted: GENESIS table 42131 requires a registered account,"Account creation is out of scope for the assistant (policy). If the user registers at genesis.destatis.de and retrieves DE flat-glass 2010-21 (table 42131), stage-5 Q35 can close.",Low,OPEN (user action)
Q49,UK projection basis mix,"Central path chains three bases: Final tariffs (25/26, 26/27) -> Initial Forecast 27/28 (FD basis, 11.05.2026) -> FYV v3.0 (DD basis, 18.09.2025) rescaled per D46. NESO moves the next Five-Year View to September 2026 (ETYS delay; letter 29.01/30.04.2026) — REFRESH the 2028/29+ leg when it lands.",Medium,OPEN (calendar: 09/2026)
Q50,"D13-R ""reported deltas"" superseded","1077号 annex parsed at primary level: 220kV volumetric fell up to 14.5% (JS -13.2%) — NOT ""-<=5%""; 220kV demand charges FLAT (JS 41.6 unchanged) — NOT ""+3-5%"". Workbook cn_td values were already correct (annex-sourced); only the D13-R commentary was stale. Also: P4 publishes per-province line-loss rates (JS 2.83% vs P3 3.18%) — 2026 JS blend not yet applied (impact ~0.5 CNY/MWh, minor).",Low,"DOCUMENTED (D13-R note superseded; line-loss blend open, minor)"
Q51,Forward utilisation pathways not yet loaded,"FES-2025 GB demand/peak pathway points and DE Szenariorahmen demand not retrieved this session (agent route failed on API overload; inline budget spent on charge paths). Historical utilisation complete (UK 2010-24; DE 2015-25; CN anchors). Add FES/Szenariorahmen points in a follow-up pass. || UK leg RESOLVED 2026-07-19: FES-2025 HT system-demand/ACS-peak/LF path imported at stage7 §G (rows 64–69) from the primary data workbook (S178, D63). DE Szenariorahmen leg remains open.",Medium,PARTIALLY RESOLVED (UK done 2026-07-19; DE open)
Q52,UK medium DUoS not projected,"No published NPg DUoS path beyond ED2 (to 2028); ED3 unquantified. DUoS held flat nominal in the medium-archetype projection — conservative, stated on the chart.",Low,OPEN (documented)
Q53,DE scenario S2 continuation assumption,"2027 subsidy EUR 5.53bn is a cabinet DRAFT (15.07.2026), not law; 2028-2030 continuation at that scale is an assumption (editable input). S1 (lapse) is equally live. Never chart S2 as the central alone.",Medium,OPEN (documented)
Q54,Stage 8 preserves signed Stages 1-7,"VERIFIED: no cells changed in assumptions A-D, fx_deflator, golden_numbers, lcoe, cn_td, timeseries, data_lineitems, stage4/5/6/7 tabs; only NEW rows appended to assumptions(E)/sources/decisions/qc and 5 new tabs added. Golden numbers must still reproduce post-recalc.",High,CHECK at recalc
Q55,North Sea reserves 2010-2014 unavailable,NSTA reserves regime starts end-2016 (2015 as prior-yr). 2010-14 = BLANK (not zero); would need legacy DECC Brown Book.,Medium,DOCUMENTED GAP
Q56,Oil-only USD/bbl UK-vs-global comparison not constructable,Disclosed UK oil-only USD/bbl anchor and production-weighted GLOBAL oil opex USD/bbl are paywalled/absent at primary level (Rystad/WoodMac/IHS). Mixed NSTA USD/boe used as the UK production-cost evidence; oil-only series BLANK with method noted. Do NOT compare mixed USD/boe with oil USD/bbl.,Medium,DOCUMENTED GAP (D50)
Q57,OECD/NEA 2025 edition not found,2020 edition is latest full edition; 2025 refresh GAP. Panel is 2018 USD deflated to 2025.,Low,DOCUMENTED
Q58,Vogtle annual generation & O&M not disclosed,"Indicative LCOE proxy uses ASSUMED CF 0.90 and OECD/NEA US O&M+fuel 20.93 $/MWh (2018); labelled EST(PROXY), not official LCOE. Broader in-service scope is the principal chart value.",Medium,DOCUMENTED (D49)
Q59,UK/German nuclear model cells blank,"No OECD/NEA nuclear observation for UK/DE -> cells BLANK (not zero/substitute). Country context (BEIS 2016 UK; DIW DE) kept in a SEPARATE table, not merged into panel A or B.",Low,DOCUMENTED
Q60,UK AGS geothermal cost blank; superhot GAP,DESNZ: insufficient data for AGS LCOH/LCOE -> BLANK (vendor target NOT substituted). Quaise superhot no observed cost -> GAP. IEA 2035 labelled GLOBAL scenario. DESNZ granite = partial EGS proxy (excl. stimulation).,Low,DOCUMENTED
Q61,"Flexibility avoided-reinforcement unit value derived, not published","£33/kW-yr = ENA 2024 £300m / 9 GW contracted (derived). Published £/kW-yr benchmark GAP. Industrial relief is scenario (pass-through), residual relief ~£0 under TCR.",Medium,DOCUMENTED (D50)
Q62,Blank-vs-zero + estimate labelling audit,Every unavailable cell left empty; every estimate/proxy/scenario carries a tag column. Chart series reference calc cells (no hard-coded chart values).,High,CHECK at recalc
Q63,Stage 9 preserves signed Stages 1-8,Verify no cells changed in Stages 1-8 tabs; only stage9_policy + appended log rows added.,High,CHECK at recalc
Q64,Policy values are options/announcements,Not this study's forecasts; every mechanism carries a status tag (D54); £/MWh savings labelled scheme ESTIMATES.,High,DOCUMENTED (D54)
Q65,BICS funding evolution,June-2025 bill-socialisation framing superseded by Apr-2026 Exchequer + energy-system funding; latest primary used; scope RO/FiT/CM not CfD.,Medium,DOCUMENTED (D55)
Q66,EGL benchmark discrepancy,"£75/MWh (gov announcement) vs £82/MWh (Carbon Brief, indexed); gov figure noted; EGL not used in the cost stack, context only.",Low,DOCUMENTED
Q67,UK-EU ETS linkage status,"Recorded as IN-NEGOTIATION (not concluded as of 2026-07-18); reported summit postponement is secondary color, not asserted as a central fact.",Medium,DOCUMENTED
Q68,Secondary-tier sources tagged,"ICAP, ZfK, Carbon Brief, Energy UK, onvista tagged Tier 2; not the sole basis for a load-bearing value where a primary exists.",Medium,DOCUMENTED
Q69,CISAF exact caps GAP,"EU CISAF precise electricity-aid caps not extractable at primary level; German scheme design (5 ct/kWh on 50%) used as consistent proxy, flagged.",Low,DOCUMENTED GAP
Q70,German 2027 tranches are DRAFT,"2027 network subsidy €5.53bn and Industriestrompreis ~€2.5bn = KTF Wirtschaftsplan draft (cabinet 15 Jul 2026), pending Bundestag; tagged DRAFT.",Medium,DOCUMENTED
Q71,Blank-vs-zero + tag audit (stage9),CN cross-subsidy (ii)/(iii) cells left BLANK (not zero); every relief value carries EST/status tag; comparative native-unit caveat present.,High,CHECK at recalc
Q72,Chart references calc cells,Relief-per-MWh chart (Section E) references the visible calc table; no hard-coded chart values.,Medium,CHECK at recalc
Q73,stage10 front-page live checks,"5/5 cross-stage consistency PASS; integrity panel PASS (stage6 151 PASS, 0 FAIL, sheets 24).",High,PASS (verified)
Q74,Source/decision/QC reference integrity,Every S###/D##/Q## token resolves to a defined ID EXCEPT S101 & S106 (cited but undefined — see Q79). No other dangling refs; the two D78/D80 hits are prose/label false positives. Independently verified.,High,PASS — all IDs resolve (S101/S106 backfilled; see D60)
Q75,Full-workbook formula-error sweep,0 #VALUE!/#REF!/#NAME?/#N/A/#DIV0 across all 24 sheets on the recalculated workbook.,High,PASS (verified)
Q76,Signed Stages 1-9 preserved,Only the new front page + appended log rows added; existing ranges byte-for-byte unchanged.,High,"PASS (verified, 0 changed)"
Q77,Blank-vs-zero final audit,"Genuine blanks retained across all stages (CN cost/split, reserves 2010-14, AGS, etc.) — never zeroed.",High,PASS (verified)
Q78,Chart integrity,All charts formula-linked to visible calc tables; count reconciled (Stage 8: 5; Stage 9: 1).,Medium,"PASS (6 charts, verified)"
Q79,Sources S101-S106 missing definition rows,"FINDING (pre-existing, signed stages ≤7): sources tab jumps S100→S107. Only S101 (cited stage7_network!T9, German €6.5bn joint-TSO) and S106 (cited sources!B111, JS 代理购电 notices) are cited-but-undefined; S102–S105 are cited NOWHERE (unused numbering gaps). NOT fabricated/fixed here (anti-fabrication) — flagged for owner: supply the 2 missing definitions or confirm leave-as-gap.  RESOLVED 2026-07-18 (D60): S101 & S106 definitions backfilled from citing context; S102–S105 marked VOID. All source references now resolve.",Medium,RESOLVED 2026-07-18 (D60)
Q80,Independent adversarial verification,A separate verifier re-computed all 8 QC claims from the file (0 errors; golden numbers; 151/0 gates; 0 changed cells; front-page 5/5; blank-vs-zero; S101/S106 gap; no dupe IDs) — ALL CONFIRMED. It also corrected Q74/Q79 overstatements (now fixed) and noted the front-page sheet-count cell is static.,High,PASS (verified 2026-07-18)
Q81,CN tonnage per-cell yearbook locators were never banked (S69 broken pointer),"S69 said ""per-edition URLs in staging"" but stage5_output_staging.md carried only entered values + key census deltas; per-cell breadcrumbs lived only in the stage-5 retrieval agent session log (ephemeral). Flagged by external review 2026-07-19 (could not reproduce e.g. 2013 crude steel 81313.89 vs communique 77904.1). CLOSED 2026-07-19: stage5_cn_locator_annex.md banked - 15-edition catalogue (table 14-22/14-12/13-12 with per-edition URLs), per-cell citations 2010-2024, four-vintage first-release panel (Dec release / gongbao / first yearbook print / final), census + non-census revision reconciliation (2013 steel = census +3409.79 exactly). Independent re-derivation, 80/80 regression vs stage5_output ALL PASS; zero discrepancies vs 2026-07-16 transcription. Process rule: locator-grade detail from retrieval agents must be banked to a staging file in the same session.",Medium,CLOSED 2026-07-19
