SOURCES — every source with tier and retrieval date,,,,,
,,,,,
ID,Source,Tier,URL,Retrieved,Used for
S19,Provincial 2024 consumption sources (7): GD bulletin PDF; SD stats bureau; NEA Henan; jiangsu.gov.cn (SGCC CSR); 新华网/国网浙江; 内蒙古太阳能行业协会; Sichuan Energy Bureau director article,1/2 mixed,see assumptions tab C-section notes,2026-07-14,Basket weights — category flags per province in assumptions tab
S20,"FRED/Fed H.10-G.5A (DEXUSUK, DEXUSEU, DEXCHUS); G.5A release 05.01.2026",1,https://www.federalreserve.gov/releases/g5a/current/ ; https://fred.stlouisfed.org/,2026-07-14,FX annual averages 2020–2025
S21,"BLS Public Data API v2, CUUR0000SA0 M13",1,https://api.bls.gov/publicAPI/v2/timeseries/data/,2026-07-14,"CPI-U annual averages 2020–2025 (2025 = 321.943, final)"
S22,"NDRC 发改价格规〔2025〕1490号 (4th-period pricing methods, 27.11.2025)",1,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202511/t20251127_1401964.html,2026-07-14,4th regulatory period preparation — context for qc item Q1
S23,"163.com/预见能源 report on 发改价格〔2026〕1077号 (4th-period T&D prices, reported 10.07.2026)",3,https://www.163.com/dy/article/L1NFPL6D05118O92.html,2026-07-14,TIER 3 — locator only. NO figure enters any chart/table from this source. Third period retained per decision D13.
S24,"广东统计年鉴2025, 表7-6 分行业能源消费总量和原煤、电力消费量 (2024年)",1,http://stats.gd.gov.cn/gdtjnj/content/post_4810393.html (ZIP: .../615394/4810393.zip),2026-07-14,GD 2024: 消费总量 9121.03; 工业合计 5217.39; 建筑业 102.68 (NBS energy classification). Confirms no 第二产业 aggregate published.
S25,国网浙江省电力 via 新华网浙江 (2025-01-20); NEA Henan 12月通报 表2; Shandong stats bureau note (2025-01-22),1,http://zj.news.cn/20250120/eafe98e109de4e9f9f6d5af0ccafb248/c.html ; https://henb.nea.gov.cn/dtyw/sjfd/202501/t20250120_275548.html ; http://tjj.shandong.gov.cn/art/2025/1/22/art_6227_10316253.html,2026-07-14,Set C 第二产业 2024: ZJ 4515.5; HN 2330.71 (row sum check ✓); SD 6071.1
S26,川投能源 2024年年度报告摘要 via 上海证券报 (2025-04-12),2,https://paper.cnstock.com/html/2025-04/12/content_2048342.htm,2026-07-14,"SC 2024 全社会用电量 3999.69 亿千瓦时 (+7.77%) — Tier 2, corroborates official rounded 4000 (Sichuan Energy Bureau director article)"
S27,"DESNZ, Electricity Generation Costs 2023 (Nov 2023) + Annex A 2023",1,https://www.gov.uk/government/publications/electricity-generation-costs-2023,2026-07-14,"UK LCOE 2025 commissioning, real 2021 £ (Table 10 p.24; Annex A assumptions incl. hurdle rates 5.0–7.5%) — headline UK leg per decision D16"
S28,"DESNZ, Electricity Generation Costs 2025 (14.01.2026, upd. 18.03.2026) + Annexes A/B; CEPA hurdle-rate study (06.10.2025)",1,https://www.gov.uk/government/publications/electricity-generation-costs-2025 ; https://assets.publishing.service.gov.uk/media/68cd1d818c44a661b4995d9f/cepa-desnz-hurdle-rates-electricity.pdf,2026-07-14,"Newer edition: starts 2030 commissioning, real 2024 £; no coal, no nuclear (commercially sensitive); new carbon methodology — NOT headline (D16), cited as context"
S29,"Fraunhofer ISE, Stromgestehungskosten Erneuerbare Energien, Juli 2024",1,https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/DE2024_ISE_Studie_Stromgestehungskosten_Erneuerbare_Energien.pdf,2026-07-14,"DE LCOE bands, real 2024 EUR, all 7 techs incl. new-build coal & nuclear (excl. back-end); tech-specific real WACC 3.2–7.8% (Tab. 2); no 2025/26 edition exists"
S30,"IEA, World Energy Outlook 2025 (12.11.2025), Annex B Tables B.4a–c",1,https://iea.blob.core.windows.net/assets/9753df19-0a71-422a-b725-012c555763b3/WorldEnergyOutlook2025.pdf,2026-07-14,"CN LCOE 2024 (2024 USD): coal 65 / CCGT 100 / nuclear 70 / PV 45 / onshore 40 / offshore 60; WACC 8–9% thermal-nuclear, 4–7% PV/onshore, 5–8% offshore (p.453–455)"
S31,"IEA/NEA, Projected Costs of Generating Electricity 2020 (9th ed.; latest as of 2026-07-14)",1,https://www.oecd-nea.org/upload/docs/application/pdf/2020-12/egc-2020_2020-12-09_18-26-46_781.pdf,2026-07-14,"Published harmonised @3/7/10% real, 2018 USD; CN full set (coal 74.66 / CCGT 84.00 / nuclear 66.01 @7%); DE hydro only; UK absent; CN data Secretariat-compiled"
S32,"CREEI 水电水利规划设计总院, 中国可再生能源工程造价管理报告2024年度 (28.05.2025), via CPEM + 光伏們/Sina reproductions",1,http://www.cpem.org.cn/list68/108339.html ; https://finance.sina.com.cn/stock/relnews/cn/2025-05-28/doc-ineycrwx0433267.shtml,2026-07-14,CN renewables LCOE @5% 折现率: PV ~0.20 / onshore ~0.18 / offshore 0.25–0.33 元/kWh; capex 3450/4200/9680 元/kW. Primary PDF not retrievable — verified via 2 independent reproductions (qc Q13)
S33,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025)",1,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_2025.pdf,2026-07-14,"CN cross-check (2024 USD): PV $0.033 / onshore $0.029 / offshore $0.056 per kWh; offshore TIC $1,520/kW, CF 37%"
S34,BloombergNEF LCOE press releases (06.02.2025; 18.02.2026); RMI Decoding the Coal Power Transition in China (2025); Lazard LCOE+ 2025,2,https://about.bnef.com/ ; https://rmi.org/download/45924/,2026-07-14,Checked per user direction (D17): BNEF China absolutes paywalled (global benchmarks only); RMI has NO quantitative China LCOE; Lazard US-only. Context citations only — no figures enter charts
S35,BLS CPI-U CUUR0000SA0 M13 annual averages 2010–2019,1,https://api.bls.gov/publicAPI/v2/timeseries/data/,2026-07-14,Deflators for older price bases (2018 USD EGC: CPI 251.107)
S36,"NDRC 发改价格〔2026〕1077号 (第四监管周期省级电网输配电价, signed 08.07.2026, published 10.07.2026) + Annex 1 省级电网输配电价表 (PDF 34pp) + Annex 2",1,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202607/t20260710_1406431.html ; annex https://www.ndrc.gov.cn/xxgk/zcfb/tz/202607/P020260710613207914509.pdf,2026-07-14,"4th-period T&D, effective 01.08.2026. All 7 basket provinces extracted (cn_td tab). Jiangsu 220kV volumetric −13.2%; new 单一制 110/220kV classes; per-province 省内 line-loss rates restated. Resolves qc Q1 (D13-R)"
S37,UK series scoping archives: NESO TNUoS per-year sections + pre-2021/22 archive + Triad data (2010-11+); DESNZ QEP table 3.4.1 quarterly 2004Q1–2026Q1 / annual 2004–2025 (verified in-file); Ofgem RO/FiT/CfD-ILR/CM scheme archives; CCL via National Archives (gov.uk page prunes old years),1,https://www.neso.energy/industry-information/charging/tnuos-charges ; https://www.gov.uk/government/statistical-data-sets/gas-and-electricity-prices-in-the-non-domestic-sector,2026-07-14,Stage-4 UK retrieval map. Binding constraint: free year-ahead wholesale from ~2010 (Ofgem forward indicator; pre-2010 = paywalled ICIS/ICE). NPg CDCM archive verified only to ~2017 online (qc Q19)
S38,"DE series scoping archives: Amprion Netzentgelte archive complete to 01.10.2000 incl. RWE/VEW predecessors; netztransparenz.de single archive for all Umlagen (EEG/KWKG/§19/Offshore/AbLaV); BNetzA Monitoringberichte 2006–2025 (direct PDF links verified); DEHSt SPK Auswertungsberichte 2013+; Eurostat nrg_pc_205 DE from 2007-S1 (SDMX-verified), predecessor nrg_pc_205_h DE weak pre-2004",1,https://www.amprion.net/Strommarkt/Netzkunde/Netzentgelte/Bisherige-Nutzungsentgelte-(informell).html ; https://www.netztransparenz.de/ ; https://www.bundesnetzagentur.de/DE/Fachthemen/ElektrizitaetundGas/Monitoringberichte/Monitoringberichte_table.html,2026-07-14,"Stage-4 DE retrieval map. EEX Cal-Y paywalled → BNetzA MB annual Cal-Y values are the free backbone (2006-07+). Westnetz MS sheets on-site ~2020+ only (D20, qc Q20). 2026: Westnetz publishes 'ohne Bundeszuschuss' variant sheet — carry both"
S39,"CN series scoping archives: catalogue-tariff adjustment notices on ndrc.gov.cn from ~2004 (dense 2009+); provincial DRC tables (GD 2004+, JS 2015/2018, SD 2018 verified); 代理购电 monthly archives complete to 12/2021 (SGCC Jiangsu 109 items verified); T&D periods 2017/2020/2023/2026 all retrievable; renewable-surcharge step history 2006→2016 (NDRC notices); NEA 电价监管通报 per-province validation anchors 2013–2017 (2017 PDF verified: national 大工业 avg 597.85 元/MWh)",1,see qc/decisions for URLs; NEA 2017 通报: http://www.nea.gov.cn/137519800_15390499899481n.pdf,2026-07-14,Stage-4 CN retrieval map. Pre-2004 not reconstructible from online primary sources; pre-2021 market prices often 价差-based (qc Q22). No IEA China industrial end-use price series exists
S40,"Ofgem data portal wholesale charts (everviz embeds): 'Electricity Prices: Forward Delivery Contracts – Weekly Average (GB)' (0eDBSsofl, weekly, from 01.02.2021) and 'Day Ahead Baseload Contracts – Monthly Average (GB)' (n9WSDfgxc, monthly, from 06/2010)",1,https://cloud.highcharts.com/embed/0eDBSsofl ; https://cloud.highcharts.com/embed/n9WSDfgxc (inline chart CSV extracted in-browser),2026-07-15,"UK wholesale legs (D21/D22). Annual averages computed (estimated=Y): YA obs-yr 2021: 89.49 (Feb–Dec) / 2022: 273.71 / 2023: 127.45 / 2024: 79.70 / 2025: 81.21 £/MWh; DA 2010 (Jun–Dec): 44.96 … 2025: 83.93 (full series in staging file). Underlying assessments third-party, republished by Ofgem"
S41,"NESO Final TNUoS Tariffs tables workbooks 2023/24–2026/27 (docs 275726, 301731, 353061, 376341), sheet T10 Non-locational banded charges",1,https://www.neso.energy/document/275726/download ; /301731/ ; /353061/ ; /376341/,2026-07-15,"HV4 residual (medium archetype TNUoS, TCR era): 276.988323 / 243.634626 / 317.597969 / 528.912335 £/site/day; T-Demand cross-checks"
S42,NPg (Yorkshire) LC14 CDCM statement 2019/20 via Wayback (20221130063623/…/2022-05/4821.pdf),1,https://web.archive.org/web/20221130063623/https://www.northernpowergrid.com/sites/default/files/2022-05/4821.pdf,2026-07-15,DUoS time-band hour definitions (red 16:00–19:30 etc.) for TOU weighting; direct NPg asset URLs now geo-blocked from sandbox (browser route in staging log)
S43,DESNZ QEP table_341.xlsx — full annual band series 2004–2025 (sheets 3.4.1 Annual excl CCL; Notes band definitions),1,https://assets.publishing.service.gov.uk/media/6942bd3536f089d38be1f246/table_341.xlsx,2026-07-15,"UK validation overlay: Extra Large (large archetype), Large 20,000–69,999 MWh (medium archetype — 20 GWh at band lower edge, flagged). GN1 cross-check 2024 XL = 21.6979 ✓"
S44,发改价格〔2023〕526号 annex — P3 T&D for GD/SD/ZJ/HN/蒙西/SC (in-session extraction of 两部制 rows),1,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202305/P020230515609052875117.pdf,2026-07-15,cn_td B/C/F filled; cross-checks vs SD Oct-2025 (输配 0.1491) and HN May-2025 (0.168) bills ✓
S45,"Stage-4 staging files (six retrieval legs, primary citations inside): stage4_staging_{uk_wholesale_levies, uk_network, de_wholesale_levies, de_network, cn_catalogue, cn_market}.md",1,project folder UK Energy Prices/,2026-07-15,All stage4_uk / stage4_de / stage4_cn raw values; per-series primary sources cited in tab column U
S46,"Ofgem Feed-in Tariffs Annual Reports SY1–SY15 (levelisation fund, relevant supply, EII/GoO exemption mechanics)",1,"ofgem.gov.uk — 15 PDFs, e.g. /sites/default/files/2025-12/feed_in_tariff_annual_report_sy15_20251210120852.pdf",2026-07-15,stage4_uk r20; FiT £/MWh 2015–24 computed fund÷relevant supply; 2010–14 per D27
S47,"EMRS ""Key Figures for Payments"" DY2018/19–2025/26 + ESC/LCCC annual reports + DESNZ CM scheme updates",1,emrsettlement.co.uk via Wayback (incl. SPN 20260715211143 / 20260715212444); lowcarboncontracts.uk,2026-07-15,stage4_uk r21; CM settled payments & window demand; DY22/23 pre-final flagged
S48,NESO half-hourly RF BSUoS settlement files 2010/11–2022/23 + BSUoS fixed-tariff CSV (FT1–FT8 Final),1,neso.energy docs 47481/47476/47471/47466/47461/104301 + api.neso.energy 2016-2023-rf.csv + bsuos-fixed-tariffs.csv,2026-07-15,"stage4_uk r28–30; own computation (unweighted), x-check CMP250 FMR Table 2 exact"
S49,National Grid (ESO) AAHEDC charging statements / final tariff letters 2010/11–2020/21,1,neso.energy docs 47306/47316/47301/47271/47261/47236/47226/101676/119396/148076/173046,2026-07-15,stage4_uk r31
S50,SI 2024/409 + SI 2026/243 + both IAs + Elexon NCC levy pages (actual monthly levy totals; estimated levy fund) + DBT consultation response 31.10.2025 + Hansard 04.02.2026,1,legislation.gov.uk; elexon.co.uk NCC supplier & estimated-levy-fund pages; gov.uk,2026-07-15,stage4_uk r53 ESL; E2 carve-out reg 18(4)(a); levy timing (90% from levy yr 2027/28)
S51,"NPg (Yorkshire) LC14 statements 2012/13 (Common Crawl WARC), 2015/16 + 2016/17 (Wayback)",1,CC-MAIN-2013-20 offset 639035092; web.archive.org 20160530004600/downloads/1481; 20170719052401/downloads/2466,2026-07-15,stage4_uk r34–38 anchor years; sha256 in /tmp/npg_legacy + staging file
S52,EEX Phelix DE Base Cal-26 daily settlements Oct-24–Sep-25 (Stadtwerke Hamm transparency sheet) + BNetzA press 05.01.2026 + MB 2025 Abb. 78 (front-year averages 2020–24),4/1,stadtwerke-hamm.de …/Strompreis_Phelix_Baseload_Year_Future_Lfj_2026.pdf; bundesnetzagentur.de/1087156,2026-07-15,stage4_de r7 trading-2025 = 87.57 provisional (D29); cross-checks Tier 1
S53,BGBl chain: StromStG 2010 rates (BGBl I 2002/87 + amendments 2003–09) + HBeglG 2011; StromNEV §19 era (BGBl I 2011/41; 2013/50) + OLG Düsseldorf VI-3 Kart 178/12 (V) + BGH EnVR 32/13 + BNetzA BK4-13-739,1,offenegesetze.de BGBl scans; nrwe.justiz.nrw.de; bundesnetzagentur.de,2026-07-15,stage4_de r35 2010; timeseries E2 network 2011–13 (D32)
S54,"国网江苏 monthly 代理购电价格公告 archive, 42 months 2023-01–2026-06 (系统运行费 components verified by sum)",1,js.sgcc.com.cn/xxgk/gwjssdlyxgs/djhsfbz ids 10316–12987 (+2 北极星 mirrors for site attachment errors; Suzhou branch for 2025-06),2026-07-15,stage4_cn r81 JS true annuals; supersedes snapshot proxy; monthly table in gapfill staging
S55,DUKES 5.1.2 electricity supply/availability/consumption 1970–2024,1,assets.publishing.service.gov.uk/media/688a29846478525675739056/DUKES_5.1.2.xlsx,2026-07-15,FiT 2010–14 denominator (D27)
S56,SI 2024/434 Electricity Capacity (Supplier Payment etc.) (Amendment and Excluded Electricity) Regs 2024,1,legislation.gov.uk/uksi/2024/434/made,2026-07-15,CM EII exclusion from DY2024/25; distinct from SI 2024/409
S57,"SC 2024 consumption split — 硕电汇 2024年四川电力生产消费年终大总结 (北极星 mirror, chart images)",2-3,news.bjx.com.cn/html/20250123/1424280.shtml (img01.mybjx.net PNGs),2026-07-15,assumptions D42 Set-C SC weight = 第二产业 2404.56; split sums to 全社会 exactly
S58,SD 山东省电网销售电价表 consolidated PDF (post-2017-07 state + 2017 step enumeration off 131号 base),1,fgw.shandong.gov.cn/attach/-1/1812201446176826520.pdf (browser-extracted via in-page pdf.js; geo-blocked to sandbox),2026-07-15,stage4_cn SD 2017–19
S59,ZJ 浙发改价格〔2020〕364号 (eff. 2021-01-01) + 377号 (catalogue abolition 2021-10) + NDRC summary,1,fzggw.zj.gov.cn art_1229123366_2370711; bjx 1118439 (annex images); ndrc.gov.cn t20201228_1260545,2026-07-15,stage4_cn ZJ 2021
S60,HN chain: 湘价电〔2011〕187号; 湘发改价商〔2015〕263号 (sealed PDF); 〔2016〕1号 (NDRC); 478号; 704号; 〔2017〕711号 + annex image; 654号-era republications,1,hunan.gov.cn gazette; yyx.gov.cn PDF; ndrc.gov.cn; fgw.hunan.gov.cn; rednet image,2026-07-15,stage4_cn HN 2012–2021 rebuild + Q34 correction
S61,SC chain: 发改价格〔2011〕2623号 附件6-1; 川发改价格〔2015〕228号; 〔2016〕129/272号; 〔2017〕379号; 2018-05 table; 〔2019〕257号; 〔2020〕629号 (scan PDF),1,nea.gov.cn; chinaenergyportal.org; shoudian.bjx.com.cn 610414/743702/838664/898716/984007; jingyan.gov.cn PDF,2026-07-15,stage4_cn SC 2012–2020
S62,IM (蒙西) chain: 内发改价字〔2015〕431号; 1299号; 2016 notice; 〔2017〕954号 + annex image; 〔2018〕950号 + table; 〔2019〕465号; 〔2020〕1290号,1,fgw.xlgl.gov.cn (4 docs); bjx 821314/845065/929194/1126322; cspplaza,2026-07-15,stage4_cn IM 2015–19 + 2020 correction
S63,GD chain: 发改价格〔2011〕2618号 + 价目表 xls (增城区); 粤发改价格〔2015〕179号 + zip; 〔2016〕372号 + zip; 〔2017〕498号 (heyuan scan + NDRC + bjx images),1,zc.gov.cn xls; drc.gd.gov.cn ×3; heyuan.gov.cn PDF; ndrc.gov.cn; shoudian.bjx.com.cn 838589,2026-07-15,stage4_cn GD 2012–2018 五市 到户
S64,"ONS Index of Production time series (DIOP): K222, K22A, K22V, K232, K23D, K23H, K23I, K23J, K22Y (div 19), weights KM2P/KM2R/KM2S/KM33/KM36 — CVMSA annual, 2023=100",1,ons.gov.uk/economy/economicoutputandproductivity/output/timeseries/{cdid}/diop/data (JSON API),2026-07-16,stage5 UK indices
S65,"Eurostat sts_inpr_a (annual production index), DE: C, C17, C20, C23, C231, C2351, C24, C241, C244; I21, NSA+CA",1,ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_a,2026-07-16,stage5 DE indices
S66,"Destatis GENESIS 42153-0001 (Produktionsindex, monthly, WERTORG) + WZ08V1 value list — Energieintensive Industriezweige = WZ08-B-10 (WZ 17,19,20,23,24)",1,genesis.destatis.de/genesis/api/rest/tables/42153-0001/data; …/variables/WZ08V1/values,2026-07-16,stage5 DE EI aggregate (annual mean estimated=Y)
S67,"NBS December industrial releases 2011–2025 (规模以上工业增加值增长… / 工业生产运行情况), table 规模以上工业生产主要数据 — 15 documents, URLs in staging file",1,stats.gov.cn/sj/zxfb/ (per-year URLs in stage5_output_staging.md),2026-07-16,stage5 CN sector VA growth 2011-2025; 2025 product output first-release
S68,NBS 国民经济和社会发展统计公报 2010–2025 (16 communiqués) — sector growth x-check (zero discrepancies) + product output first-release,1,stats.gov.cn/sj/tjgb/ + /sj/zxfb/ (per-year URLs in staging),2026-07-16,stage5 CN x-check + 有色金属 2011-13 + tonnage first-release
S69,"中国统计年鉴 2011–2025 editions, table 工业产品产量 (13-12/14-22) — revised product output series incl. census revisions",1,"stats.gov.cn/sj/ndsj/ — per-cell locators (edition/table/row/column URLs), first-release panel and revision reconciliation banked in stage5_cn_locator_annex.md (2026-07-19; closes Q81). JPG tables read visually, machine-parsed where XLS/HTM exists; adjacent-edition overlap validated.",2026-07-16; re-verified 2026-07-19,stage5 CN tonnages 2010-2024 (revised)
S70,NDRC 造纸行业运行简要情况 2021 & 2022 (source-attributed 国家统计局),1,ndrc.gov.cn/fgsj/tjsj/cyfz/zzyfz/ (2 docs),2026-07-16,stage5 CN paper VA growth 2021/2022 (only official cells)
S71,"中商产业研究院 askci database — CN paper VA growth 2018-2025 — TIER 3: locator only, NOT entered in workbook, NOT charted (Q37)",3,s.askci.com/data/economy/00017/1/,2026-07-16,Q37 locator only
S72,"worldsteel: Steel Statistical Yearbook 2020 (T1, kt); World Steel in Figures 2022/2024/2025 (Mt); Jan-2026 press release (2025 + DE restatement 37.3)",2,"worldsteel.org (5 docs, URLs in staging)",2026-07-16,stage5 crude steel UK/DE 2010-2025
S73,USGS Minerals Yearbook: Cement 2014/2019/2023 (T22 world production); Aluminum 2014/2018/2022 (T13),1,"usgs.gov / d9-wret.s3 assets (6 docs, URLs in staging)",2026-07-16,stage5 cement 2010-13 (+x-check); aluminium x-check
S74,"BGS World Mineral Production volumes 2010-14, 2014-18, 2019-23, 2020-24: primary aluminium; finished cement",1,"nora.nerc.ac.uk (4 PDFs, URLs in staging)",2026-07-16,stage5 aluminium UK/DE 2010-24; cement UK/DE 2014-24
S75,VDZ Zementindustrie im Überblick 2023/2024 (Zementproduktion 2018-22); MPA news release 2025 (UK 2024 = 7.3 Mt),2,vdz-online.de; mpa-cement.uk,2026-07-16,stage5 cement x-checks (BGS=VDZ 2018-22; MPA consistent)
S76,"FAOSTAT Forestry Production & Trade bulk CSV (Forestry_E_Europe.zip, file date 2025-04-01), item 1876 Paper and paperboard, element 5510",1,bulks-faostat.fao.org/production/Forestry_E_Europe.zip (REST API now auth-walled),2026-07-16,stage5 paper UK/DE 2010-2024 (UK all flag E; DE 2016-22 flag E)
S77,"VDP/DIE PAPIERINDUSTRIE: PAPIER 2025 Leistungsbericht (Zahlenreihen p.45, N16A p.33); PR 03.03.2026 (2025 = 18.7 Mt prov.)",2,papierindustrie.de (2 docs),2026-07-16,stage5 DE paper x-check (matches FAO exc. 2010 26kt diff) + 2025 provisional
S78,BV Glas Jahresbericht tables Produktion von Glas 2023/24 & 2024/25 — row Herstellung von Flachglas (cites Destatis),2,"bvglas.de (2 PDFs, URLs in staging)",2026-07-16,stage5 DE flat glass 2022-2025
S79,"Eurostat PRODCOM DS-059358 (DE+GB, codes 23111xxx, PRODQNT m²) + ONS ProdCom 2024 edition Table 5 — suppression documented",1,ec.europa.eu/eurostat/api/comext/…/DS-059358; ons.gov.uk ProdCom,2026-07-16,Q36 documentation (UK flat glass unpublishable); DE m² context
