"ALL-IN PRICE TIME SERIES — stage 4 build (2026-07-15). Both archetypes × E1/E2 × 3 countries, 2010–2026 (D19). Formula-driven from stage4_uk / stage4_de / stage4_cn / cn_td / assumptions. Nominal local currency per MWh; real 2025 USD/MWh block below (no 2026 conversion, D6). E1/E2 are MODELLED, not observed. Build-up EXCLUDES supply cost & margin (function 6) — noted at the validation gate. Blank cell = source gap (anti-fabrication) — see completeness rows.",,,,,,,,,,,,,,,,,,,,
"Structural breaks to mark on every chart — UK: CfD-ILR 2016 · EII exemptions 2018 → 100% 04/2024 · TCR DUoS 04/2022, TNUoS bands + BSUoS reform 04/2023 · NCC 04/2025 (backdated 04/2024), 90% 04/2026 · wholesale = day-ahead PROXY pre-2022 (D22). DE: §19 floors 2014 (2011–13 exemption era not modelled — gap) · Offshore/SPK 2013 · BesAR-2014 redesign · KWKG/Offshore privileged rates company-specific 2017/2019 (E2=E1, D25) · DE-AT split 10/2018 · EEG→0 07/2022, budget 2023 · ÜNB harmonisation 2023 · €6.5bn subsidy 2026 (incidence iii). CN: renormalised basket, coverage row shown (D23) · 2021-10 catalogue end (2021 = Jan–Sep basis) · 代理购电 12/2021 · 526号 06/2023 · 容量电价 2024 · 136号文 06/2025 · 1077号 08/2026 (month-weighted, D13-R). CN E1=E2 (no formal exemption regime — functional equivalents owned in text).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ctry,Series / component,Case,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Method / source note
UK,E2 network = (TNUoS+BSUoS)×(1−NCC share) + AAHEDC,E2,3.470053,4.115741875,4.5858905,5.232749375,6.015586125,6.92835125,8.129818375,8.381048375,8.849421375,9.93941475,11.232195,13.40529475,16.19782875,22.69773139921,7.873221239436,9.432480884828,3.274724277786,"NCC 60% 2024–25, 90% 2026 (SI 2026/243); recovered via ESL — incidence (ii)."
UK,E2 levies = RO/CfD/FiT/CM after exemption shares (FiT+CM now live),E2,4.15219,5.29736,8.10828,10.95722,13.5759,17.1667,20.24146,23.9194325,10.046194,7.5395155,7.8714075,8.438315,6.282212,7.76170975,0,0,0,85% era 2016/2018 → 100% 04/2024. FiT/CM terms absent (series GAP).
UK,E2 TOTAL (relieved EII; assumes full qualification). D71: CCL = 0 — mineralogical & metallurgical processes exempt since 01.04.2014,E2,52.941923,57.998701875,58.2658505,67.396369375,62.360926125,65.17105125,71.342318375,78.980960875,77.591455375,61.56885025,56.3391225,150.33336975,112.68596075,306.35912114921,136.342821239436,89.770080884828,85.134404277786,MODELLED. Same completeness caveats as E1.
UK,"OBSERVED: QEP Extra Large band, incl CCL (D71 basis)",obs,66.9138622643322,70.5370422206083,80.9664198211838,85.3836750058262,90.3510309212648,92.444928271035,93.5238504561378,92.1394323746825,98.784103707784,113.919384308198,125.369023355639,141.841410676649,198.060035593334,220.792261758001,221.463819453282,213.789125136295,,"DESNZ QEP 3.4.1 annual. Fully delivered incl margin, EXCL CCL."
"UK — MEDIUM archetype (20 GWh, 5,000h, HV distribution, NPg Yorkshire). Nominal £/MWh.",,,,,,,,,,,,,,,,,,,,
UK,Wholesale (as large),E1+E2,44.96,48.2,45.21,50.8,42.43,40.75,42.63,46.31,58.23,43.74,36.94,127.47,89.49,273.71,127.45,79.7,81.21,
UK,TNUoS medium (triad-era £/kW ×1000/h; HV4 residual ×365/MWh from 2023),per arch.,3.5338288,3.916595,4.6360488,5.097007,6.0497218,7.257538,8.4987654,8.9934214,8.8146422,9.6078636,9.566936,9.7392396,10.367886,5.05503689475,4.4463319245,5.79616293425,9.65265011375,"Triad demand = avg operating demand 4 MW (est=Y — a 5,000h plant is assumed operating at triads; qc). HV4 band inferred (D12)."
UK,"DUoS unit rates (red/amber/green × band-hour shares; uniform-operation weighting, est=Y)",medium,6.61416666666667,6.61416666666667,6.61416666666667,6.77572916666667,6.93760416666667,7.09916666666667,8.04375,8.19354166666667,12.3416666666667,13.8083333333333,12.5427083333333,13.460625,3.08479166666667,3.374375,3.30395833333333,4.1075,4.75958333333333,2017/18 band definitions differ (flag). GAP 2010–16.
UK,DUoS fixed (p/MPAN/day; TCR Band-4 residual from 2022),medium,0.01847995,0.01847995,0.01847995,0.019970975,0.021460175,0.0229512,0.0234695,0.028949975,0.0263822,0.02756845,0.03507285,0.032895625,4.9727089,4.29752095,8.6257238,1.85562715,2.339754025,
UK,"DUoS capacity (p/kVA/day × agreed kVA; kVA = avg MW × 1000, pf≈1 est=Y)",medium,1.1753,1.1753,1.1753,1.2483,1.3213,1.3943,1.3505,1.4819,1.314,1.7447,1.3943,1.3797,1.2848,1.3724,1.1972,2.4528,2.7594,Reactive not modelled (pf≈1).
UK,BSUoS / AAHEDC / RO / CfD / FiT / CM / CCL / ESL (as large),E1,10.1136,11.81523,14.88664,18.24434,21.22041,25.09909,28.87905,33.74913,41.02743,49.42267,53.71451,54.46027,51.14738,62.145945,69.37008,67.64247,70.77967,Volumetric charges identical per MWh.
UK,"E1 TOTAL medium (2010–16 DUoS reconstructed, D28)",E1,67.8627277366667,73.2914260166667,73.9960357366667,83.8207007416667,79.3464027016667,82.9348698666667,90.8065717,100.301635921667,123.772083025067,119.996167508133,115.705749602533,210.9401059178,163.275023347467,358.93761442875,218.893903056233,164.51594240425,174.612613862483,MODELLED. Same FiT/CM/BSUoS completeness caveats.
UK,"E2 TOTAL medium (EII status assumed, D24). D71: CCL = 0 (min/met exempt); a non-min/met firm on a CCA pays 8% of the main rate, so this is a floor",E2,63.1627277366667,68.4414260166667,68.9060357366667,78.5807007416667,73.9364027016667,77.3948698666667,84.97837986,93.1782170616666,95.9876952266666,81.8105589633333,74.7924571633333,171.942559465,128.081160646667,318.52269491475,142.963606023133,93.6463784337,87.5296410672083,NCC covers TNUoS+DUoS+BSUoS. D24: medium assumed to hold EII certificate — stated on every E2 chart.
UK,"OBSERVED: QEP Large band (20–70 GWh), incl CCL (D71 basis) — archetype overlay",obs,68.7699907105741,73.9154335475459,83.8454234608983,91.4172785072599,95.5786057590941,97.7948901067328,98.2885607561817,104.413286018401,108.516223896227,118.640877427129,131.068156931548,140.826809476109,192.969246995539,270.695156179775,267.742419171515,244.007754319925,,
"DE — LARGE archetype (500 GWh, 8,000h, Höchstspannung, Amprion/bundeseinheitlich). Nominal €/MWh.",,,,,,,,,,,,,,,,,,,,
DE,Wholesale (Phelix front-year: trading yr Y−1 → delivery Y). 2010 & 2026 GAP (MB coverage),E1+E2,,49.9,56.08,49.3,39.08,35.09,31,26.6,32.4,43.84,47.82,40.2,88.4,298.9,137.5,88.7,87.57,BNetzA MB series. DE-AT split 10/2018.
DE,Netzentgelte HöS (LP×1000/h + AP×10). 2026 incl. €6.5bn subsidy,E1 network,3.8275,4.07625,4.6725,4.84375,4.66375,5.6675,6.35375,7.58875,11.2175,9.67875,11.1175,11.2625,13.44375,14.36125,31.0725,29.2675,13.5325,
DE,2026 Netz HöS OHNE Bundeszuschuss (info — the counterfactual without incidence-(iii) subsidy),info,,,,,,,,,,,,,,,,,30.83875,
DE,"EEG-Umlage (E1, full)",E1,20.47,35.3,35.92,52.77,62.4,61.7,63.54,68.8,67.92,64.05,67.56,65,18.615,0,0,0,0,"2022 = year-avg (est=Y); 0 from 2023 (budget, incidence iii)."
DE,KWKG (E1: Kat-B/B′ blend to 2016; full non-priv from 2017 — structural break),E1,0.50016,0.3,0.499904,0.600132,0.550246,0.510406,0.4081,4.38,3.45,2.8,2.26,2.54,3.78,3.57,2.75,2.77,4.46,"2010–15: Kat A first 100 MWh, Kat B above; 2016: A′ first 1 GWh, B′ above. Break 2017 marked."
DE,§19-Umlage (E1: A′ first 1 GWh + B′ above; from 2012),E1,,,0.50202,0.50558,0.50274,0.50374,0.50656,0.50676,0.5064,0.5051,0.50616,0.50764,0.50774,0.50734,0.51186,0.53016,0.53018,
DE,Offshore-Umlage (E1: A/B blend 2013–18; full non-priv 2019+ — break),E1,,,,0.504,0.504,0.49798,0.27026,0.37868,0.48976,4.16,4.16,3.95,4.19,5.91,6.56,8.16,9.41,
DE,AbLaV-Umlage,E1+E2,,,,,0.09,0.06,0,0.06,0.11,0.05,0.07,0.09,0.03,0,0,0,0,Ends 2022.
DE,Stromsteuer (full §3) + Konzessionsabgabe (0 via Grenzpreis),E1,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,
DE,E1 TOTAL (blank 2010/2026 — wholesale gap),E1,,110.07625,118.174424,129.023462,128.290736,124.529626,122.57867,128.81419,136.59366,145.58385,153.99366,144.05014,149.46649,343.74859,198.89436,149.92766,136.00268,MODELLED.
DE,"E2 network: 2011 = 0 (§19(2) S.2 exemption, approvals eff. 01.01.2011); 2012–13 = 10% floor (8,000h; §32(7) retroactive, D32); 2014+ = Netz × (1−0.76), D8",E2,,0,0.46725,0.484375,1.1193,1.3602,1.5249,1.8213,2.6922,2.3229,2.6682,2.703,3.2265,3.4467,7.4574,7.0242,3.2478,AgNes 68-HS-site avg Bandlast rebate. estimated=Y. NEVER delete the band (rows below).
DE,"E2 network band LOW = 10% statutory floor (§19(2) S.2 Nr.3, ≥8,000h)",E2 band,,,,,0.466375,0.56675,0.635375,0.758875,1.12175,0.967875,1.11175,1.12625,1.344375,1.436125,3.10725,2.92675,1.35325,
DE,E2 network band HIGH = full published tariff,E2 band,,,,,4.66375,5.6675,6.35375,7.58875,11.2175,9.67875,11.1175,11.2625,13.44375,14.36125,31.0725,29.2675,13.5325,
DE,E2 EEG (BesAR: 0.05 ct floor era-central 2012–2021; band-high = uncapped 15% formula; 2022 H1 pro-rata; 2010–11 GAP),E2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0,0,0,0,"REGIME SPLIT (Q90, 2026-07-24). 2010–2012 = EEG 2009 §§40–44 + §6 AusglMechV: flat 0.05 ct/kWh cap on the privileged volume, with a 10% SELBSTBEHALT at the full Umlage UNLESS the site clears BOTH ≥100 GWh AND ≥20% Stromkosten/Bruttowertschöpfung (§41(3) S.1 — the limbs are joined by ""oder"", so failing either brings the Selbstbehalt back). The large archetype (500 GWh) is modelled vollbegünstigt, so 0.05 ct/kWh across the whole volume = 0.5 €/MWh, unchanged 2010–2012. 2013+ = EEG 2012 §41(3) tranche ladder (≤1 GWh full / 1–10 GWh 10% / 10–100 GWh 1% / >100 GWh 0.05 ct), then EEG 2014/2017/2021 §64 floors 0.05 (cap assumed binding — typical large EII; est=Y). CRITICAL TIMING: the EEG 2012 ladder FIRST APPLIES TO BENEFIT YEAR 2013, not 2012 — §43(1) makes applications due 30 June effective 1 January of the FOLLOWING year, and §66(13) EEG 2012 applies §41 to applications made IN 2012. Benefit year 2012 ran on applications filed 30.06.2011 under EEG 2009. Empirical confirmation: privileged undertakings 734 (2012) → 1,691 (2013) when the 1 GWh threshold bit. S189/S191. High-band 2013+: =(1+0.15×499)/500×Umlage."
DE,E2 EEG band HIGH (no cap: 1 GWh full + 15% above),E2 band,2.497,3.98,5.449064,8.005209,9.46608,9.35989,9.639018,10.43696,10.303464,9.716385,10.248852,9.8605,2.8238955,0,0,0,0,"2010–2012 band HIGH = the TEILBEGÜNSTIGT outcome, i.e. a large site that clears 15% but not 20% Stromkosten/BWS and therefore keeps the 10% Selbstbehalt: 0.1×Umlage + 0.9×0.05 ct. This is the correct EEG 2009 upper case and replaces the EEG-2012 tranche formula, which did not apply before benefit year 2013. Q90 / S189."
DE,"E2 KWKG (2016 C′ blend; other years = E1, flagged — D25 overstates E2)",E2,0.50016,0.3,0.499904,0.600132,0.550246,0.510406,0.3083,4.38,3.45,2.8,2.26,2.54,3.78,3.57,2.75,2.77,4.46,Kat C 2010–15 GAP; privileged rates company-specific 2017+ (D25).
DE,E2 §19-Umlage (C′ stromintensiv blend),E2,,,0.25252,0.25608,0.25324,0.25424,0.25706,0.25726,0.2569,0.2556,0.25666,0.25814,0.25824,0.25784,0.26236,0.28066,0.28068,
DE,"E2 Offshore (Kat C blend 2013–18; = E1 2019+, D25)",E2,,,,0.2545,0.2545,0.24848,0.2503,0.24894,0.24026,4.16,4.16,3.95,4.19,5.91,6.56,8.16,9.41,
DE,E2 Stromsteuer (2010 §9(3) 12.30; §9b 2011+; §10 Spitzenausgleich NOT modelled — overstates E2),E2,12.3,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,0.5,0.5,0.5,
DE,"E2 TOTAL central (2014–2025; SPK not netted — wholesale carbon relief unmodelled, qc)",E2,,66.07,73.169674,66.765087,57.217286,53.393326,49.21056,49.2375,55.01936,69.2985,73.10486,65.61114,115.50474,327.45454,155.02976,107.43486,105.46848,MODELLED. Band = swap network central for low/high rows.
DE,E2 TOTAL band LOW (network at 10% floor),E2 band,,66.07,72.702424,66.280712,56.564361,52.599876,48.321035,48.175075,53.44891,67.943475,71.54841,64.03439,113.622615,325.443965,150.67961,103.33741,103.57393,
DE,E2 TOTAL band HIGH (network full + EEG high-band),E2 band,,69.55,77.651488,73.785921,69.727816,66.560516,63.178428,64.94191,73.348124,85.870735,91.303012,83.53114,128.2958855,338.36909,178.64486,129.67816,115.75318,
DE,OBSERVED: Eurostat IF (70–150 GWh) annual (validation); IG (≥150 GWh) from 2020 below,obs,86.3,100.65,92.6,101.75,104.8,97.55,83.65,99.6,89.6,92.8,106.45,124.8,176,170.3,141.2,144.35,,"Semester avg, est=Y (D7)."
DE,OBSERVED: Eurostat IG annual (2020+),obs,,,,,,,,,,,68.8,109.65,190.2,155.8,130.1,132.25,,Q21: IG usable 2019-S2+.
"DE — MEDIUM archetype (20 GWh, 5,000h, Mittelspannung, Westnetz). Nominal €/MWh.",,,,,,,,,,,,,,,,,,,,
DE,Wholesale (as large),E1+E2,,49.9,56.08,49.3,39.08,35.09,31,26.6,32.4,43.84,47.82,40.2,88.4,298.9,137.5,88.7,87.57,
DE,"Netzentgelte MS (Westnetz 2013+; MB national-avg bridge 2010–12, 6,000h case — flagged, D20)",E1=E2 network,15.3,14.6,16.7,18.212,19.608,20.758,22.732,23.254,24.65,23.214,25.156,28.12,30.758,34.162,47.732,46.206,36.964,"No §19 relief at 5,000h (fails Satz 2). Bridge era methodology break marked."
DE,Umlagen E1 (EEG full + KWKG/§19/Offshore blends at 20 GWh + AbLaV),E1,20.974,35.6,36.9681,54.6128,64.21465,63.32315,65.083,74.256,72.624,71.6875,74.704,72.271,27.3085,10.1635,10.1065,12.184,15.1245,Same era structure as large; tranche blends at 20 GWh.
DE,Stromsteuer + KA (E1),E1,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,
DE,E1 TOTAL medium,E1,,120.6,130.2481,142.6248,143.40265,139.67115,139.315,144.61,150.174,159.2415,168.18,161.091,166.9665,363.7255,215.8385,167.59,160.1585,MODELLED.
DE,E2 EEG medium (BesAR per D24: 2012–13 sliding ≈10%×U; 2014–21 central = (1+19×0.15)/20×U uncapped; band-low = 0.1 ct floor),E2,2.497,3.98,4.042,5.277,12.012,11.87725,12.23145,13.244,13.0746,12.329625,13.0053,12.5125,3.5833875,0,0,0,0,"MEDIUM (20 GWh) is ALWAYS teilbegünstigt — §41(3) EEG 2009 exempts only sites clearing BOTH ≥100 GWh AND ≥20% Stromkosten/BWS, and 20 GWh can never clear the first limb. 2010–2012 (EEG 2009 regime): 0.1×Umlage + 0.9×0.05 ct/kWh → 0.2497 / 0.398 / 0.4042 ct/kWh. Eligibility met: >10 GWh and >15% BWS assumed per D24. 2013+ (EEG 2012 §41(3) ladder): at EXACTLY 20 GWh the ladder collapses to 10% of the Umlage — (1×U + 9×0.1U + 10×0.01U)/20 = 2U/20 = 0.1U — so the existing 0.1×U formula is EXACTLY right for 2013 and must not be ""corrected"". 2014+ EEG 2014/2017/2021 §64: (1 + 19×0.15)/20 × U, cap (BWS) unknowable for the archetype → central = no-cap (conservative-high). Q90 / S189/S190. est=Y."
DE,E2 Umlagen other (KWKG =E1 exc 2016 C′; §19 C′; Offshore C/=E1; AbLaV),E2,0.504,0.3,0.8106,1.3678,1.33965,1.14815,1.1915,5.095,4.229,7.4,6.9065,7.0335,8.456,9.926,9.869,11.9465,14.887,"D25 where privileged rate unpublished (2017+/2019+) — overstates E2, flagged."
DE,"E2 TOTAL medium (2012+; EII status assumed, D24)",E2,,84.15,93.0026,89.5268,87.40965,84.2434,82.52495,83.563,89.7236,102.153625,108.2578,103.236,146.5673875,358.358,195.601,147.3525,139.921,"Network = E1 (no §19 at 5,000h)."
DE,OBSERVED: Eurostat ID (2–20 GWh) annual,obs,102.55,113,115.7,127.55,135.1,130.8,127.35,126.9,123.2,133.55,152.15,157.15,193.85,203.6,204.65,192.7,,GN3 (BDEW 17.6 ct 2025) is the second anchor.
"CN — provincial basket (renormalised, D23; coverage row shown). Nominal 元/MWh. E1 = E2 (no formal exemption regime).",,,,,,,,,,,,,,,,,,,,
CN,LARGE: catalogue basket 2012–21 (2020 incl. COVID rebate; 2021 Jan–Sep) → market basket 2022+ (JS/GD/HN),E1=E2,,,651.82332182466,651.82332182466,651.82332182466,643.046545830987,637.822084381581,621.492376270061,612.104962485831,609.961125839868,581.844858492962,573.420680567782,672.330742,693.301946011275,668.627610038232,624.250571100446,586.539522403969,Breaks 2021-10 & 2026 marked; never a continuous line. 系统运行 proxy flags (stage4_cn).
CN,LARGE excl Inner Mongolia (swing constituent; catalogue era only — IM absent from market basket anyway),E1=E2 variant,,,687.029769840477,687.029769840477,687.029769840477,678.624138548753,668.04051790939,649.79784307565,639.091791808735,636.577811101186,636.381523104022,601.497950035508,,,,,,
CN,LARGE basket coverage (Set-C weight share),note,,,0.803073316111588,0.803073316111588,0.803073316111588,0.803073316111588,1,1,1,1,1,1,0.186576120592009,0.355774258463718,0.431374889552905,0.431374889552905,0.355774258463718,Report on every chart.
CN,MEDIUM: catalogue basket 2012–21 (2020 incl. COVID) → JS 代理购电 build 2022+ (coverage 17.7%),E1=E2,,,734.4628189759,734.4628189759,734.4628189759,725.686042982227,719.784252764583,703.455324613905,694.067130868833,691.923294222871,660.050427491744,666.155222061507,753.3,775.07413,785.22958,785.47134,746.988246666667,GD/SD/HN full-bill snapshots kept as anchors (stage4_cn). 需量-basis two-part throughout.
CN,MEDIUM excl Inner Mongolia (catalogue era),E1=E2 variant,,,774.931376149784,774.931376149784,774.931376149784,766.525744858059,753.932687895681,735.690927686903,724.983961795027,722.469981087477,722.273693090313,700.022396937994,,,,,,
CN,No validation overlay exists for CN (no band-average survey) — owned in text; NEA 通报 anchors on qc list,note,,,,,,,,,,,,,,,,,,
"REAL 2025 USD/MWh (Fed H.10 annual-avg FX × CPI-U deflator; fx_deflator helper cols I–M). NO 2026 conversion (D6). Footnote: ""Real 2025 USD/MWh. Converted at annual-average market FX. Excludes VAT."" CN series: 含税 as published (Q84; de-VAT memo stage6 r189–191).",,,,,,,,,,,,,,,,,,,,
UK,UK LARGE E1 — real 2025 USD/MWh,USD,131.522614436462,144.337542521211,140.863802758756,157.050190032366,151.958255521539,146.835379992817,140.34135568051,145.739139915268,180.394339179705,160.150627545634,154.874946168353,309.345731991755,201.304128071691,455.771436416972,271.196488981952,207.807932742163,,
UK,UK LARGE E2 — real 2025 USD/MWh,USD,120.78009226586,133.17358266696,129.52213723457,145.690758786115,139.794422239488,135.297959046994,129.71847023728,133.713596159911,132.934600126431,98.9931664010234,89.9081661403725,245.842991347525,153.354899938136,402.675194543962,178.845002080728,118.424690703265,,
UK,UK MEDIUM E1 — real 2025 USD/MWh,USD,154.819962196075,168.287935175617,164.489570018354,181.195242507636,177.870747144251,172.176425139192,165.109430653765,169.809183013541,212.054178958653,192.935234771868,184.647742049247,344.954328637974,222.201813794693,471.783811028912,287.129752719445,217.029431219687,,
UK,UK MEDIUM E2 — real 2025 USD/MWh,USD,144.097525203192,157.151619102082,153.174748851812,169.867932400002,165.743155857366,160.675142303581,154.512296344781,157.749340461974,164.452204438556,131.538696011592,119.356716368589,281.180906335835,174.306306164496,418.662867488105,187.529685716084,123.538302429737,,
UK,"UK OBSERVED QEP Extra Large (incl CCL, D71) — real 2025 USD/MWh",USD,152.655249378665,161.963463311549,179.984393078947,184.573924603129,202.539810602921,191.919723242408,170.050134172842,155.990693383062,169.243188721953,183.164709448567,200.068770696863,231.955930713779,269.540914751081,290.207017906618,290.500789780284,282.0306138798,,
UK,"UK OBSERVED QEP Large (incl CCL, D71) — real 2025 USD/MWh",USD,156.889764339415,169.720748597501,186.384277424957,197.616767719015,214.258459596415,203.026478518958,178.713588701985,176.770145687263,185.916873979955,190.756138427438,209.163670043211,230.296734258726,262.61283452862,355.798855499753,351.205828649662,321.895029498845,,
DE,DE LARGE E1 — real 2025 USD/MWh,USD,,219.477570790255,213.083166888165,236.811445831871,231.986998966519,187.688914124007,182.052253949397,191.196888601906,206.946432785971,205.220055661154,218.567075532549,202.467912258367,173.204905592659,392.87232497367,220.86628473004,169.508212396,,
DE,DE LARGE E2 central — real 2025 USD/MWh,USD,,131.734893786009,131.93401184756,122.54156366972,103.465510308936,80.4735041797129,73.0868866998803,73.0824515725818,83.3571652312935,97.6855745141682,103.759566838118,92.2189352727559,133.849316908457,374.24975751314,172.155948081131,121.465852716,,
DE,DE LARGE E2 band low — real 2025 USD/MWh,USD,,131.734893786009,131.091502052645,121.652535098507,102.284831827988,79.27762996331,71.7657756844456,71.5055107528408,80.9778525650341,95.7754841715769,101.550458198758,90.0027535970325,131.668270956695,371.951859288207,167.325235593766,116.833275746,,
DE,DE LARGE E2 band high — real 2025 USD/MWh,USD,,138.673556270878,140.015279250427,135.427699452416,126.088190641681,100.318866866055,93.8317834447027,96.3922618452595,111.126187067123,121.046373044566,129.58866176798,117.406172075649,148.671964772533,386.724062162771,198.379815869681,146.614127696,,
DE,DE MEDIUM E1 — real 2025 USD/MWh,USD,,240.460544734261,234.853504588831,261.775529627948,259.313738891841,210.509959115683,206.908834619924,214.642362465825,227.521347602812,224.472353860443,238.702104768885,226.419484587884,193.48428446829,415.704055214337,239.682249394627,189.477254,,
DE,DE MEDIUM E2 — real 2025 USD/MWh,USD,,167.784036810847,167.69524120408,164.318726377848,158.062094087712,126.970206014385,122.56498748568,124.031254648584,135.935876941253,143.999300804922,153.653018894334,145.102097019168,169.845364769724,409.569507275403,217.209106178176,166.5967365,,
